ModelCode,Barcode,ProductName,Color,AverageSalesPrice,CurrentSalesPrice,TotalViews,GrossFavoriteNumber,ActiveFavoriteTotal,SellerViewTotal,TotalAddedtoCart,GrossOrderQuantity,GrossSalesQuantity,CancelledbyCustomer,CancelledbyTrendyol,NumberofReturns,NetSalesQuantity,TotalCommission,GrossTurnover,NetTurnover,CancelledByUs,DidntLikeModelCancel,DamagedProductCancel,WrongProductCancel,ChangedMyMindCancel,OtherCancel,SmallSizeCancel,BigSizeCancel,NotLikeThePictureCancel,WrongOrderCancel,DidntLikeQualityCancel,DidntReachCancel
BPS,0789393943193,Füme Bukle Kendinden Yapışkanlı Merdiven Basamak Paspası / Halısı,Gri,149.09,149.9,32762,2230,4365,32762,4359,229,1916,95,342,13,1466,44294.83,286502,218567,0,0,1,0,5,2,2,0,0,0,0,3
EKOYRM16,0709637254564,Bukle Halıdan Ekonomik Basamak Ve Merdiven Paspası 16'lı,Antrasit,1093.93,1099,4651,355,1094,4651,346,100,126,6,0,4,116,25814.91,138106,126896,0,0,0,2,0,2,0,0,0,0,0,0
BDBK,0789393946408,Bukle Kendinden Yapışkanlı Merdiven Basamak Paspası / Halısı,Bej,148.42,149,4581,247,187,4581,2673,81,555,20,132,45,358,10804.09,82560,53135,0,0,0,28,0,0,0,14,0,0,0,3
M2075K,M2075GRI,Kaymaz Tabanlı Ve Yıkanabilir Merdiven Basamak Halısı,Gri,128.05,129,11411,638,1437,11411,1841,97,673,59,211,17,386,10065.21,86456,49428,0,0,0,0,1,16,0,0,0,0,0,0
EKOYRM16,0709637254533,Bukle Halıdan Ekonomik Basamak Ve Merdiven Paspası 16'lı,Gri,1098.29,1099,2312,181,285,2312,168,40,45,1,0,1,43,9393.14,49455,46128,0,0,0,0,0,0,1,0,0,0,0,0
EKOYRM16,0709637255097,Bukle Halıdan Ekonomik Basamak ve Merdiven Paspası 16'lı,Bej,1113.33,1199,2255,202,357,2255,181,37,40,0,0,5,35,7935.21,44860,38966,0,0,0,0,0,2,1,2,0,0,0,0
EVA1,Myfloor-EVA1GRİ,Eva Tatami Yumuşak Zemin Minderi 13 Mm Gri,Gri,196.22,199,2043,124,132,1083,168,34,207,0,7,14,186,5657.61,41193,36496,0,0,0,0,10,0,0,0,0,0,0,4
BPS29,0789393946842,Açık Gri Kendinden Yapışkanlı Merdiven Basamak Paspası  Halısı,Renkli,198.55,199,8649,452,874,8649,844,37,220,20,44,2,154,6225.62,43727,30577,0,0,1,0,1,0,0,0,0,0,0,0
EVA26,EVAKRMV,Eva Tatami Minder 26mm Çift Taraflı 1.sınıf 100 Cm X 100 Cm,Mavi,337.43,349,409,24,11,409,89,15,133,10,40,0,83,4325.06,46021,28007,0,0,0,0,0,0,0,0,0,0,0,0
BPSTF,0789393943117,Kahverengi Kendinden Yapışkanlı Merdiven Basamak Paspası / Halısı,Kahverengi,166.29,199,1962,110,222,1962,1524,37,332,42,109,15,166,5624.52,57701,27605,0,0,0,0,0,0,0,15,0,0,0,0
DMTYRM,0789393944183,Siyah Kendinden Yapışkanlı Merdiven Basamak Paspası / Halısı,Siyah,147.09,149,3120,224,1229,3120,414,27,192,11,5,0,176,5278.63,28302,25888,0,0,0,0,0,0,0,0,0,0,0,0
EKOYRM16,0709637255110,Bukle Halıdan Ekonomik Basamak ve Merdiven Paspası 16'lı,Kahverengi,1096.27,1099,737,52,48,737,55,18,27,0,0,5,22,4928.51,29673,24118,0,0,0,0,1,1,0,0,0,0,0,3
BICAK1,1789393947559,Profesyonel Kanca Uçlu Halı Kesim Bıçağı / Fidan Kesim Bıçağı,NoColor,495.18,499,1089,34,91,1089,76,29,48,0,0,1,47,3622.51,23952,23273,0,0,0,0,0,0,0,0,0,0,0,1
HALIYAPISTIRICI,1789393947344,Halı Ve Zemin Kaplamaları Yapıştırıcısı 3 Lt. 2200gr.,NoColor,421.42,499,566,37,67,566,96,41,51,0,0,1,50,3692.55,21500,21071,0,0,0,0,0,0,0,0,0,1,0,0
HKUTU,1789393946798,Halı Kaynak Ütüsü,NoColor,4999,4999,155,2,5,155,4,3,4,0,0,0,4,3478.32,19996,19996,0,0,0,0,0,0,0,0,0,0,0,0
UTUBANDI,1789393947351,Halı Kaynak Ütü Bandı - Ütü Bantı 20 Metre,NoColor,538.49,549,512,23,47,512,60,28,34,0,0,0,34,3214.88,18369,18309,0,0,0,0,0,0,0,0,0,0,0,0
KYAP,1789393947313,Latex Bazlı Karo Halı Yapıştırıcısı - 10kg.,NoColor,1499,1499,341,12,44,341,28,13,13,0,0,1,12,3115.87,19487,17988,0,0,0,0,0,0,0,0,0,1,0,0
DK172,0709637253680,Tufting Halıdan Basamak Ve Merdiven Paspası,Gri,126.79,129,2002,123,364,2002,163,23,188,0,52,0,136,3516.37,23817,17244,0,0,0,0,0,0,0,0,0,0,0,0
EKOYRM16,0709637254595,Bukle Halıdan Ekonomik Basamak Ve Merdiven Paspası 16'lı,Bordo,1099,1099,419,30,28,419,36,8,15,0,0,0,15,3358.38,16485,16485,0,0,0,0,0,0,0,0,0,0,0,0
M2075K,M2075ANTRASIT,Kaymaz Tabanlı Ve Yıkanabilir Merdiven Basamak Halısı,ANTRASIT,128.37,129,4240,311,1157,4240,974,34,179,12,40,0,127,3321.75,23091,16303,0,0,0,0,0,0,0,0,0,0,0,0
EVA1,Myfloor-EVA1SİYAH,Eva Tatami Yumuşak Zemin Minderi 13 Mm Siyah,Siyah,196.43,199,918,52,43,619,116,17,87,9,0,4,74,2253.34,17313,14536,0,0,0,0,0,0,0,2,0,0,0,2
